,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_act,param_batch_size,param_decay,param_dropout,param_epochs,param_lr,param_nl1,param_nl2,param_nl3,param_nn1,param_nn2,param_nn3,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,5.032001813252767,0.12299654049867705,0.15866756439208984,0.057517035150196405,relu,50,1e-06,0,10,0.01,0,1,0,7,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 7, 'nn3': 0}",-1.3360461173279077,-1.8276797829036635,-1.0820895522388059,-1.4152628603730921,0.30948188034536867,36
1,5.075333595275879,0.025938577221663723,0.1983342965443929,0.08073078703237474,relu,50,1e-06,0,10,0.01,0,1,0,7,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 8, 'nn3': 0}",-1.2380467955239065,-1.852103120759837,-1.1536635006784262,-1.414584511023177,0.3112585102855708,35
2,5.372996966044108,0.0841973482020481,0.18100078900655112,0.03960685906268526,relu,50,1e-06,0,10,0.01,0,1,0,8,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 7, 'nn3': 0}",-1.26314004747372,-1.883989145183175,-1.367706919945726,-1.5049180327868852,0.2713996042088387,66
3,5.031999588012695,0.309784678596683,0.2773342927296956,0.09191379695036073,relu,50,1e-06,0,10,0.01,0,1,0,8,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 8, 'nn3': 0}",-1.2322821295354358,-1.8490502035278156,-1.0970149253731343,-1.3927642736009045,0.32730792922668445,29
4,5.226999044418335,0.1655688788557376,0.19466598828633627,0.02368283719732585,relu,50,1e-06,0,10,0.01,0,1,0,9,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",-1.3374025093251949,-1.7255766621438262,-1.2706919945725916,-1.444544940644432,0.20056040259399224,45
5,4.932665586471558,0.09114842798278454,0.36133408546447754,0.06171229264070274,relu,50,1e-06,0,10,0.01,0,1,0,9,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 8, 'nn3': 0}",-1.1447948457104102,-1.5542740841248304,-1.1808005427408412,-1.2932730356133408,0.1851244940313245,8
6,6.0113333861033125,0.36144140529626206,0.29199997584025067,0.08065886451479848,relu,50,1e-06,0,10,0.01,1,1,0,7,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 7, 'nn3': 0}",-1.3645303492709393,-1.7276119402985075,-1.3042740841248304,-1.4654607122668175,0.1869785459602556,51
7,5.765666484832764,0.11192213330765187,0.3240012327829997,0.022992790023859913,relu,50,1e-06,0,10,0.01,1,1,0,7,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 8, 'nn3': 0}",-1.2383858935232281,-1.7140434192673,-1.4721845318860245,-1.4748445449406444,0.1942009648171483,53
8,6.259999752044678,0.46089788454152175,0.37600088119506836,0.04931487049168298,relu,50,1e-06,0,10,0.01,1,1,0,8,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 7, 'nn3': 0}",-1.1997287216005426,-1.610922659430122,-1.2961329715061058,-1.3689089881288863,0.17558300931997683,18
9,6.4020005861918134,0.41816010935567216,0.4050001303354899,0.08846358055427475,relu,50,1e-06,0,10,0.01,1,1,0,8,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 8, 'nn3': 0}",-1.1929467616141065,-1.8219131614654003,-1.112279511533243,-1.3756924816280385,0.3172131152415459,21
10,6.238665580749512,0.10725265190407508,0.5226671695709229,0.062167846043882716,relu,50,1e-06,0,10,0.01,1,1,0,9,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",-1.096982027806036,-1.7418588873812755,-1.0264586160108549,-1.2884115319389486,0.3218987268680866,7
11,6.98533296585083,0.39100909489195257,0.4680008888244629,0.09616646426508899,relu,50,1e-06,0,10,0.01,1,1,0,9,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 8, 'nn3': 0}",-1.13157002373686,-1.7757801899592944,-1.1594301221166894,-1.355568117580554,0.2973272481794834,15
12,6.249998728434245,0.41255150419963876,0.4916675090789795,0.08723300802903217,relu,50,1e-06,0,10,0.001,0,1,0,7,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 7, 'nn3': 0}",-1.7694133604611733,-1.9023066485753053,-1.5264586160108549,-1.7327303561334086,0.1556085208564625,93
13,5.775997877120972,0.061821489647862056,0.5150005022684733,0.09859274546205579,relu,50,1e-06,0,10,0.001,0,1,0,7,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 8, 'nn3': 0}",-1.5103424889793151,-1.7920624151967435,-1.672998643147897,-1.6584511023176935,0.11547394093516666,84
14,5.986000140508016,0.2832007272438369,0.6103339989980062,0.1540824774649159,relu,50,1e-06,0,10,0.001,0,1,0,8,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 7, 'nn3': 0}",-1.557138012885724,-1.9080732700135685,-1.448100407055631,-1.6377614471452797,0.19623886108934444,81
15,6.017333030700684,0.32306948837611205,0.4723331133524577,0.027353418423859837,relu,50,1e-06,0,10,0.001,0,1,0,8,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 8, 'nn3': 0}",-1.5879959308240081,-1.8599050203527816,-1.460651289009498,-1.6361786319954776,0.16650955964030548,79
16,5.803666750590007,0.0961813371017264,0.6309998830159506,0.029530611593437776,relu,50,1e-06,0,10,0.001,0,1,0,9,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",-1.7453374025093251,-1.7354138398914518,-1.5030529172320217,-1.6612775579423402,0.11194556511011987,85
17,6.377665837605794,0.39589611027623817,0.6140003204345703,0.12406430878404934,relu,50,1e-06,0,10,0.001,0,1,0,9,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 8, 'nn3': 0}",-1.6252967107494065,-1.9457259158751696,-1.4884667571234735,-1.6864895421141888,0.19161584738821202,91
18,6.569000323613484,0.16952439028344374,0.6059999465942383,0.04864120652966193,relu,50,1e-06,0,10,0.001,1,1,0,7,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 7, 'nn3': 0}",-1.6941336046117328,-1.8327679782903663,-1.764246947082768,-1.7637083097795365,0.05660012620137646,94
19,7.044665654500325,0.511684309436877,0.7660010655721029,0.05004007033412433,relu,50,1e-06,0,10,0.001,1,1,0,7,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 8, 'nn3': 0}",-1.6242794167514412,-1.8880597014925373,-1.4996607869742198,-1.6706613906161674,0.1619118655722634,88
20,7.283333619435628,0.370891809368266,0.6996662616729736,0.1317480265823558,relu,50,1e-06,0,10,0.001,1,1,0,8,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 7, 'nn3': 0}",-1.5072906069854188,-1.8670284938941655,-1.3616010854816825,-1.578631995477671,0.2124076050820993,75
21,6.943332751592,0.24801135801122823,0.7463332017262777,0.051279182181633125,relu,50,1e-06,0,10,0.001,1,1,0,8,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 8, 'nn3': 0}",-1.4611732790776535,-1.7747625508819538,-1.478629579375848,-1.5715093273035614,0.1438861480468236,74
22,7.38100020090739,0.3053008875981959,0.8060003121693929,0.1526627849872049,relu,50,1e-06,0,10,0.001,1,1,0,9,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",-1.5093251949813495,-1.8843283582089552,-1.5016960651289009,-1.631769361221029,0.1785981978754876,78
23,7.557000239690145,0.4110470309295151,0.7416670322418213,0.03209822001377184,relu,50,1e-06,0,10,0.001,1,1,0,9,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 10, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 8, 'nn3': 0}",-1.3397761953204477,-1.7204884667571234,-1.289348710990502,-1.4498586772187676,0.19245227284525862,46
24,13.364999055862427,0.05990538842617423,0.9939999580383301,0.1853236912566785,relu,50,1e-06,0,30,0.01,0,1,0,7,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 7, 'nn3': 0}",-1.282129535435741,-1.8924694708276797,-1.0722523744911805,-1.4156020350480498,0.3478847697439518,37
25,14.574000597000122,0.9149936481792911,0.96500031153361,0.17190923222494922,relu,50,1e-06,0,30,0.01,0,1,0,7,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 8, 'nn3': 0}",-1.1074940657850119,-1.614314789687924,-1.4311397557666214,-1.3842849067269645,0.2095498242432416,26
26,14.801999568939209,1.0458789608630443,1.0326669216156006,0.09880082406482997,relu,50,1e-06,0,30,0.01,0,1,0,8,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 7, 'nn3': 0}",-1.245506951508986,-1.7228629579375847,-1.1424694708276797,-1.3702656868287169,0.2528268778155655,19
27,17.099828561147053,0.5739531295033283,1.3369141419728596,0.41752576334765623,relu,50,1e-06,0,30,0.01,0,1,0,8,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 8, 'nn3': 0}",-1.297728043404544,-1.7109905020352782,-1.0298507462686568,-1.346184284906727,0.2801622520413751,13
28,18.558161815007526,1.833612352628846,1.4319997628529866,0.5120481582078369,relu,50,1e-06,0,30,0.01,0,1,0,9,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",-1.243811461512377,-1.8076662143826323,-1.0603799185888738,-1.3706048615036743,0.3179674330789836,20
29,16.574333429336548,0.6672211160159551,1.0300015608469646,0.0989942368045941,relu,50,1e-06,0,30,0.01,0,1,0,9,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 8, 'nn3': 0}",-1.1793828416412344,-1.7483039348710991,-1.1085481682496607,-1.345392877331826,0.2863410579818283,12
30,17.728666305541992,0.28384393773103556,1.399666468302409,0.2668444908720918,relu,50,1e-06,0,30,0.01,1,1,0,7,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 7, 'nn3': 0}",-1.2170227195659546,-1.7567842605156039,-1.4056987788331072,-1.459807801017524,0.22365928381767394,48
31,18.5493323802948,1.6895428701485895,1.106667121251424,0.14153864012763512,relu,50,1e-06,0,30,0.01,1,1,0,7,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 8, 'nn3': 0}",-1.2604272634791456,-1.8113975576662145,-1.2347354138398914,-1.4355002826455625,0.2659838682944605,43
32,16.783332188924152,0.3380927442066399,1.0496665636698406,0.09776641094419256,relu,50,1e-06,0,30,0.01,1,1,0,8,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 7, 'nn3': 0}",-1.159376059681248,-1.5505427408412482,-1.3853459972862958,-1.365065008479367,0.1603401404909967,16
33,17.45399872461955,0.9719934350514626,1.3136683305104573,0.1900456304044091,relu,50,1e-06,0,30,0.01,1,1,0,8,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 8, 'nn3': 0}",-1.2414377755171244,-1.4060379918588874,-1.1777476255088195,-1.2750706613906162,0.09618148065905131,5
34,17.907000144322712,0.5560010443040386,1.3800005912780762,0.2617103993910389,relu,50,1e-06,0,30,0.01,1,1,0,9,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",-1.1627670396744658,-1.3307327001356852,-1.2615332428765265,-1.2516676088185414,0.06892749789821345,4
35,17.09033195177714,0.2472799584874659,1.2096677621205647,0.02463509189240542,relu,50,1e-06,0,30,0.01,1,1,0,9,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.01, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 8, 'nn3': 0}",-1.084774499830451,-1.7496607869742198,-1.3867028493894165,-1.4070096099491238,0.27182581308209486,34
36,16.67200016975403,0.7489041019823535,1.4016671180725098,0.10589902317647025,relu,50,1e-06,0,30,0.001,0,1,0,7,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 7, 'nn3': 0}",-1.441166497117667,-1.832428765264586,-1.3924694708276797,-1.5553420011305823,0.19691948434071035,73
37,16.84233331680298,0.6963680736483504,1.3146680196126301,0.10190516945638556,relu,50,1e-06,0,30,0.001,0,1,0,7,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 8, 'nn3': 0}",-1.3608002712783995,-1.560719131614654,-1.3395522388059702,-1.4203504804974563,0.09962559517890555,40
38,16.82833234469096,0.06798180923109833,1.3480042616526287,0.10190461409718325,relu,50,1e-06,0,30,0.001,0,1,0,8,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 7, 'nn3': 0}",-1.3763987792472023,-1.75,-1.175033921302578,-1.4338044092707745,0.2382009616537978,42
39,17.517999092737835,0.43894680678492315,1.5589992205301921,0.051270171950224215,relu,50,1e-06,0,30,0.001,0,1,0,8,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 8, 'nn3': 0}",-1.353001017293998,-1.6733378561736771,-1.2469470827679783,-1.4244205765969473,0.18124384482028646,41
40,17.585668245951336,0.8590252555390112,1.6493347485860188,0.4828509192533366,relu,50,1e-06,0,30,0.001,0,1,0,9,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",-1.3109528653780942,-1.6305970149253732,-1.317842605156038,-1.4197851893725268,0.14908036962326476,39
41,18.13066832224528,0.48129776634432153,1.5829983552296956,0.08990284297981907,relu,50,1e-06,0,30,0.001,0,1,0,9,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 0, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 8, 'nn3': 0}",-1.3696168192607663,-1.7133649932157395,-1.2693351424694708,-1.4507631430186545,0.19013201377075423,47
42,19.69100038210551,0.08769643356144499,2.025666077931722,0.4117880054918989,relu,50,1e-06,0,30,0.001,1,1,0,7,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 7, 'nn3': 0}",-1.425567989148864,-1.6611261872455902,-1.301899592944369,-1.4628603730921426,0.1489981753522784,50
43,19.584665218989056,0.5510249869628245,1.448667287826538,0.042444851364925595,relu,50,1e-06,0,30,0.001,1,1,0,7,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 7, 'nn2': 8, 'nn3': 0}",-1.335707019328586,-1.8843283582089552,-1.2493215739484396,-1.489768230638779,0.28119292048606426,58
44,18.99899951616923,0.44675650958427177,2.1476667722066245,0.24660645078998572,relu,50,1e-06,0,30,0.001,1,1,0,8,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 7, 'nn3': 0}",-1.3875890132248219,-1.7598371777476256,-1.2527137042062415,-1.4667043527416619,0.21444860388169615,52
45,21.670999606450398,0.662907715069273,1.9013344446818035,0.0803001973739884,relu,50,1e-06,0,30,0.001,1,1,0,8,8,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 8, 'nn2': 8, 'nn3': 0}",-1.3662258392675484,-1.9090909090909092,-1.317842605156038,-1.5310344827586206,0.2680324428543087,69
46,21.284667094548542,0.3297781952919956,1.8633331457773845,0.2002632535257216,relu,50,1e-06,0,30,0.001,1,1,0,9,7,0,"{'act': 'relu', 'batch_size': 50, 'decay': 1e-06, 'dropout': 0, 'epochs': 30, 'lr': 0.001, 'nl1': 1, 'nl2': 1, 'nl3': 0, 'nn1': 9, 'nn2': 7, 'nn3': 0}",-1.3353679213292642,-1.8683853459972863,-1.358887381275441,-1.5208592425098926,0.24590476886923673,68
